s,C,C,C,C,C,C,C,C,kW/m2
Time,"TEMP1","TEMP2","TEMP3","TEMP4","TC1","TC2","TC3","TC4","HEAT_FLUX"
 9.8872866E+001, 2.2359853E+002, 4.4257204E+001, 2.3255810E+001, 2.9066021E+001, 2.4410228E+002, 4.6627996E+001, 2.5978223E+001, 2.7952470E+001, 1.0337466E-002
 9.9843828E+001, 1.9202100E+002, 4.9209443E+001, 2.2780849E+001, 2.9645054E+001, 2.4407126E+002, 4.6574624E+001, 2.5526300E+001, 2.8102557E+001, 1.0530669E-002
 1.0081686E+002, 1.0543736E+002, 5.3904174E+001, 2.4864855E+001, 3.0127908E+001, 2.1407715E+002, 4.7233214E+001, 2.5268069E+001, 2.8313251E+001, 1.0676557E-002
 1.0178544E+002, 1.1590804E+002, 5.7785488E+001, 2.8483105E+001, 3.0317725E+001, 1.9230457E+002, 4.8386124E+001, 2.5481323E+001, 2.8536621E+001, 1.0805048E-002
 1.0275045E+002, 2.9589364E+002, 5.3164968E+001, 3.0557694E+001, 3.0547499E+001, 2.0771025E+002, 4.9374438E+001, 2.6135148E+001, 2.8759407E+001, 1.0919137E-002
 1.0372941E+002, 1.9722209E+002, 4.9759134E+001, 3.4398835E+001, 3.0683313E+001, 2.4524554E+002, 4.9491580E+001, 2.7255810E+001, 2.8966308E+001, 1.0956935E-002
 1.0469624E+002, 1.9124352E+002, 4.5444896E+001, 3.3911322E+001, 3.0662338E+001, 2.2719265E+002, 4.9177896E+001, 2.8489995E+001, 2.9137887E+001, 1.0994463E-002
 1.0566522E+002, 1.6376546E+002, 4.2886864E+001, 3.4301890E+001, 3.0470929E+001, 2.1899628E+002, 4.8402467E+001, 2.9390054E+001, 2.9260734E+001, 1.1043397E-002
 1.0663955E+002, 2.3128916E+002, 4.4574355E+001, 3.3010741E+001, 3.0068133E+001, 2.1759398E+002, 4.7715341E+001, 3.0048821E+001, 2.9328067E+001, 1.1252786E-002
 1.0760226E+002, 2.2487609E+002, 4.4145020E+001, 3.2668647E+001, 2.9566431E+001, 2.3557397E+002, 4.7141588E+001, 3.0539295E+001, 2.9333884E+001, 1.1592369E-002
 1.0857254E+002, 2.6154801E+002, 5.4052655E+001, 3.1697116E+001, 2.9277723E+001, 2.4591266E+002, 4.7226532E+001, 3.0725058E+001, 2.9296058E+001, 1.1785098E-002
 1.0954894E+002, 1.8364386E+002, 5.6097210E+001, 3.2061059E+001, 2.9193786E+001, 2.4344978E+002, 4.8420139E+001, 3.0902032E+001, 2.9244807E+001, 1.2022204E-002
 1.1051496E+002, 1.4172702E+002, 4.9438828E+001, 3.1497538E+001, 2.9308754E+001, 2.2478454E+002, 4.8875255E+001, 3.1000445E+001, 2.9201069E+001, 1.2240445E-002
 1.1148726E+002, 1.6659800E+002, 4.8744248E+001, 3.0768933E+001, 2.9540301E+001, 2.0914471E+002, 4.8742854E+001, 3.0978570E+001, 2.9183556E+001, 1.2482982E-002
 1.1245688E+002, 2.0272657E+002, 5.1552982E+001, 3.1630202E+001, 2.9763164E+001, 2.1130026E+002, 4.8871485E+001, 3.0942432E+001, 2.9194761E+001, 1.2721171E-002
 1.1343099E+002, 2.0296132E+002, 5.0596770E+001, 3.4497761E+001, 3.0054555E+001, 2.1040253E+002, 4.9210399E+001, 3.1219813E+001, 2.9234324E+001, 1.2968361E-002
 1.1439280E+002, 1.5348445E+002, 4.7892160E+001, 3.6628614E+001, 3.0701249E+001, 2.0998868E+002, 4.9134658E+001, 3.1891574E+001, 2.9325850E+001, 1.3216249E-002
 1.1536390E+002, 1.5563170E+002, 4.5633940E+001, 3.4889425E+001, 3.1816975E+001, 1.9818164E+002, 4.8643221E+001, 3.2456353E+001, 2.9526679E+001, 1.3500173E-002
 1.1634271E+002, 1.7652650E+002, 5.0244214E+001, 3.4795988E+001, 3.2623784E+001, 1.9408392E+002, 4.8445508E+001, 3.2774306E+001, 2.9840064E+001, 1.3759281E-002
 1.1730479E+002, 1.9744860E+002, 4.8820005E+001, 3.3975081E+001, 3.3532471E+001, 2.0587502E+002, 4.8610589E+001, 3.2989849E+001, 3.0222575E+001, 1.3831995E-002
 1.1827482E+002, 9.6461192E+001, 5.4720444E+001, 3.3574609E+001, 3.4324735E+001, 1.9412107E+002, 4.9038555E+001, 3.3044878E+001, 3.0678217E+001, 1.3724700E-002
 1.1925306E+002, 2.0572995E+002, 5.1584366E+001, 3.4249153E+001, 3.4222903E+001, 1.9486967E+002, 4.9564544E+001, 3.3132286E+001, 3.1118726E+001, 1.3498373E-002
 1.2021135E+002, 2.1450105E+002, 4.4751995E+001, 3.3048935E+001, 3.3709886E+001, 2.0280332E+002, 4.9502950E+001, 3.3192332E+001, 3.1442357E+001, 1.3343200E-002
 1.2118896E+002, 1.9105323E+002, 3.6569875E+001, 3.2870226E+001, 3.3237543E+001, 2.1657809E+002, 4.8053446E+001, 3.3045648E+001, 3.1648642E+001, 1.3260561E-002
 1.2215780E+002, 1.5828119E+002, 4.2942076E+001, 3.3631676E+001, 3.2824946E+001, 2.0669096E+002, 4.6791056E+001, 3.3050144E+001, 3.1768999E+001, 1.3436988E-002
 1.2312627E+002, 2.1616200E+002, 5.4330169E+001, 3.3228002E+001, 3.2300646E+001, 2.0737451E+002, 4.7127445E+001, 3.3068838E+001, 3.1811873E+001, 1.3756504E-002
 1.2410126E+002, 1.6396314E+002, 5.3281220E+001, 3.2720468E+001, 3.1849041E+001, 2.1302036E+002, 4.8265634E+001, 3.2998699E+001, 3.1785189E+001, 1.4079871E-002
 1.2506465E+002, 1.5466625E+002, 4.4446957E+001, 3.2423515E+001, 3.1596008E+001, 1.9948936E+002, 4.8282443E+001, 3.2862294E+001, 3.1717244E+001, 1.4339942E-002
 1.2603559E+002, 1.8456619E+002, 4.0391963E+001, 3.2958707E+001, 3.1535792E+001, 1.9568217E+002, 4.7299969E+001, 3.2782882E+001, 3.1640665E+001, 1.4611959E-002
 1.2701314E+002, 2.0412496E+002, 4.7318903E+001, 3.3168937E+001, 3.1566911E+001, 2.1167064E+002, 4.6761010E+001, 3.2783211E+001, 3.1572595E+001, 1.4799466E-002
 1.2797776E+002, 2.2318615E+002, 5.7001773E+001, 3.3556373E+001, 3.1580595E+001, 2.1478080E+002, 4.7499927E+001, 3.2795354E+001, 3.1517964E+001, 1.4931843E-002
 1.2894257E+002, 1.9435425E+002, 5.4009743E+001, 3.5425609E+001, 3.1628734E+001, 2.2305259E+002, 4.8941522E+001, 3.3045691E+001, 3.1471872E+001, 1.5036516E-002
 1.2991047E+002, 1.3875499E+002, 5.2962433E+001, 3.2515807E+001, 3.2205981E+001, 2.0943729E+002, 4.9578772E+001, 3.3212572E+001, 3.1469465E+001, 1.5067168E-002
 1.3089059E+002, 1.4733913E+002, 5.3815362E+001, 3.0040316E+001, 3.3096777E+001, 1.9595289E+002, 5.0067335E+001, 3.2747584E+001, 3.1572183E+001, 1.5056654E-002
 1.3186255E+002, 1.0077738E+002, 5.1229959E+001, 3.3467023E+001, 3.3539380E+001, 1.7933530E+002, 5.0329177E+001, 3.2571567E+001, 3.1749143E+001, 1.5049587E-002
 1.3282107E+002, 9.8231883E+001, 5.4150861E+001, 3.2769718E+001, 3.3631075E+001, 1.6590205E+002, 5.0555828E+001, 3.2627656E+001, 3.1928648E+001, 1.5041555E-002
 1.3379979E+002, 1.6492303E+002, 5.6021241E+001, 3.1829867E+001, 3.3672245E+001, 1.6036758E+002, 5.1057849E+001, 3.2549550E+001, 3.2092175E+001, 1.5087170E-002
 1.3476982E+002, 1.2565215E+002, 5.6557238E+001, 2.8689544E+001, 3.3814285E+001, 1.6324959E+002, 5.1682924E+001, 3.2103933E+001, 3.2245805E+001, 1.5239846E-002
 1.3573336E+002, 1.8402362E+002, 5.3734108E+001, 2.8034486E+001, 3.4128520E+001, 1.6784326E+002, 5.2131862E+001, 3.1471539E+001, 3.2408382E+001, 1.5215814E-002
 1.3671060E+002, 2.1615349E+002, 4.9553458E+001, 2.7684694E+001, 3.4158495E+001, 1.9241077E+002, 5.1848269E+001, 3.0882356E+001, 3.2581829E+001, 1.5036098E-002
 1.3767058E+002, 1.5845498E+002, 4.4644763E+001, 2.9636388E+001, 3.3776936E+001, 1.9980990E+002, 5.1107073E+001, 3.0448081E+001, 3.2706780E+001, 1.4955139E-002
 1.3864285E+002, 2.2285664E+002, 4.1689166E+001, 3.0835705E+001, 3.3553811E+001, 1.9994975E+002, 4.9741093E+001, 3.0437449E+001, 3.2764560E+001, 1.4933634E-002
